"Laps","Time","Cumulative Time","Distancemi","Avg Pacemin/mi","Avg GAPmin/mi","Avg HRbpm","Max HRbpm","Total Ascentft","Total Descentft","Avg PowerW","Avg W/kg","Max PowerW","Max W/kg","Avg Run Cadencespm","Avg Ground Contact Timems","Avg GCT Balance%","Avg Stride Lengthm","Avg Vertical Oscillationcm","Avg Vertical Ratio%","CaloriesC","Avg Temperature","Best Pacemin/mi","Max Run Cadencespm","Moving Time","Avg Moving Pacemin/mi","Avg Step Speed Losscm/s","Avg Step Speed Loss Percent%","Beer Bottles Connect IQ™Beer CounterRobvanBergen"
"1","7:25.8","7:25.8","1.00","7:26","7:28","132","155","3","3","423","5.33","517","6.51","170","247","--","1.27","9.5","7.5","105","77.0","6:08","179","7:25","7:25","--","--","--"
"2","7:42.5","15:08","1.00","7:42","7:44","141","151","3","7","396","4.99","445","5.61","169","254","--","1.23","9.5","7.7","113","73.4","7:19","176","7:42","7:42","--","--","0.769"
"3","7:50.3","22:59","1.00","7:50","7:52","139","145","0","0","376","4.74","399","5.03","167","259","--","1.23","9.7","7.9","110","73.4","7:35","171","7:50.3","7:50","--","--","0.835"
"4","7:38.0","30:37","1.00","7:38","7:36","139","146","3","3","416","5.24","448","5.64","168","256","--","1.27","9.8","7.7","105","71.6","7:27","174","7:38.0","7:38","--","--","0.813"
"5","7:39.5","38:16","1.00","7:39","7:40","139","145","3","7","401","5.05","428","5.39","168","256","--","1.26","9.8","7.8","104","71.6","7:18","174","7:39","7:39","--","--","0.776"
"6","7:27.9","45:44","1.00","7:28","7:28","134","144","0","0","396","4.99","428","5.39","169","252","--","1.28","9.8","7.6","114","73.4","7:04","174","7:27.9","7:28","--","--","0.761"
"7","3:50.2","49:34","0.51","7:34","7:30","139","144","3","0","401","5.05","425","5.35","169","252","--","1.27","9.7","7.7","55","71.6","7:16","173","3:49","7:32","--","--","0.843"
"Summary","49:34","49:34","6.51","7:37","7:37","138","155","16","20","401","5.05","517","6.51","168","254","--","1.26","9.7","7.7","705","73.2","6:08","179","49:31","7:37","--","--","--"
